mvars
affAnx
affBor
affCalm
affDepr
affEnerg
affNerv
affExh
affInsp
affRel
lone01
para01
consp01
isoFriends_inPerson
isoOthPpl_inPerson
isoFriends_online
isoOthPpl_online
